Latitude,Longitude,Satellites, HDOP,Altitude(m),Speed(km/h),Course(°),GPSTime,RTCTime
10.827615,106.69622,12,154,-3.47,0,0,13:10:15,
10.827615,106.69622,12,154,-3.47,0,0,13:10:21,
10.810948,106.69622,12,154,-3.47,0,0,13:00:27,
10.827615,106.69622,13,149,-3.47,0,0,13:10:31,
10.827615,106.69622,14,138,-3.47,0,0,13:10:34,
10.827615,106.69622,13,149,-3.47,0,0,13:10:41,
10.827631,106.69622,4,138,-3.47,0,0,13:10:44,
10.827615,106.69622,14,138,-3.47,0,0,13:10:48,
10.827615,106.69622,14,138,-3.47,0,0,13:10:52,
10.827615,106.69622,14,138,-3.47,0,0,13:10:55,
10.827634,106.696197,14,138,-2.3,0,0,13:11:01,
10.827634,106.696197,14,138,-2.26,0,0,13:11:05,
10.827634,106.696197,14,138,-2.26,0,0,13:11:08,
10.827634,106.696197,13,144,-2.26,0,0,13:11:13,
10.827634,106.696197,13,144,-2.26,0,0,13:11:16,
0.827634,106.696197,14,138,-2.26,0,0,13:11:19,
10.827634,6.696199,14,138,-2.26,0,0,14:11:24,
10.827634,106.696197,14,138,-2.26,0,0,13:11:27,
10.827634,106.696197,14,138,-2.26,0,0,13:11:30,
10.827634,106.696197,14,138,-2.26,0,0,13:11:35,
10.827614,106.69622,13,148,-0.87,0,0,13:11:38,
10.827604,106.696228,13,148,-0.27,0,0,13:11:41,
10.827621,106.696243,13,148,0.34,0,0,13:11:45,
10.827607,106.696243,13,148,0.16,0,0,13:11:49,
10.827607,106.696243,13,148,0.16,0,0,13:11:55,
10.827607,106.696243,13,148,0.16,0,0,13:11:58,
10.827607,106.696243,13,148,0.16,0,0,13:12:01,
10.827586,106.696281,13,148,1.67,0,0,13:12:05,
10.827572,106.696281,13,148,2.53,0,0,13:12:10,
10.827562,106.683334,13,148,3.09,0,0,13:12:13,
10.827564,106.696311,13,148,3.8,0,0,13:12:17,
10.827567,106.696327,12,152,4.27,0,0,13:12:20,
10.827567,106.696327,11,158,4.27,0,0,13:12:28,
10.827567,106.696327,12,143,4.27,0,0,13:12:31,
10.827567,106.696327,12,143,4.27,0,0,13:12:34,
10.827567,106.696327,12,100,4.27,0,0,13:12:37,
10.827576,106.696365,12,143,5.49,0,0,13:12:40,
10.827572,106.696395,13,141,5.65,0,0,13:12:46,
10.827574,106.696403,12,144,5.78,0,0,13:12:49,
10.827579,106.696411,12,144,5.9,0,0,13:12:52,
10.827578,107.696418,12,142,7.02,0,0,13:12:55,
10.827567,106.696434,13,141,6.33,0,0,13:13:00,
10.827576,106.696441,13,141,6.55,0,0,13:13:04,
10.827576,106.696441,12,142,6.55,0,0,13:13:13,
10.827576,106.696441,12,142,6.55,0,0,13:13:16,
10.827589,106.696449,13,140,6.77,0,0,13:13:24,
10.827572,106.683334,13,140,6.76,0,0,13:13:28,
10.827589,106.696456,13,140,6.76,0,0,13:13:31,
10.827589,106.696456,13,140,6.76,0,0,13:13:35,
10.827589,106.696456,14,138,6.76,0,0,13:13:41,
10.827589,106.696456,14,137,6.76,0,0,13:13:45,
10.827589,106.696456,14,137,6.76,0,0,13:13:48,
10.827589,106.696456,14,138,6.76,0,0,13:13:51,
10.827589,106.696456,14,136,6.76,0,0,13:13:54,
10.827589,106.696456,14,136,6.76,0,0,13:13:59,
10.827589,106.696456,14,137,6.76,0,0,13:14:05,
10.827589,106.696456,13,141,6.76,0,0,13:14:13,
10.827589,106.696456,13,140,6.76,0,0,13:14:16,
10.827589,106.696456,13,140,6.76,0,0,13:14:20,
10.827589,106.696456,13,141,6.76,0,0,13:14:23,
10.827589,106.696456,13,141,6.76,0,0,13:14:26,
10.827589,106.696456,13,140,6.76,0,0,13:14:31,
10.827589,106.696456,13,140,6.76,0,0,13:14:36,
10.827589,106.696456,13,140,6.76,0,0,13:14:40,
10.827589,106.696456,13,140,6.76,0,0,13:14:43,
10.827589,106.696456,13,140,6.76,0,0,13:14:49,
10.827589,106.696456,13,140,6.76,0,0,13:14:53,
10.827589,106.696456,13,140,6.76,0,0,13:14:56,
10.827545,106.696449,13,140,6.9,0,0,13:15:00,
10.827534,107.696449,13,140,7.98,0,0,13:15:03,
10.827522,6.696435,13,140,7.13,0,0,13:15:09,
10.827522,106.696434,13,140,7.13,0,0,13:15:12,
10.827522,106.679771,13,140,7.03,0,0,13:15:14,
10.827522,106.696434,13,140,7.13,0,0,13:15:19,
10.827522,106.696434,13,140,7.13,0,0,13:15:23,
10.827522,106.696434,13,140,7.13,0,0,13:15:26,
10.827522,106.696434,13,140,7.13,0,0,13:15:30,
10.827522,106.696434,13,140,7.13,0,0,13:15:33,
10.827522,106.696434,13,140,7.13,0,0,13:15:36,
10.827522,106.696434,13,140,7.13,0,0,13:15:39,
10.827522,106.696434,13,140,7.13,0,0,13:15:42,
10.827502,106.696403,13,140,7.7,0,0,13:15:45,
10.827498,106.696395,13,140,7.69,0,0,13:14:48,
10.827498,106.696395,13,140,7.69,0,0,14:15:52,
10.827498,106.696395,13,140,7.69,0,0,13:15:55,
10.827498,106.696395,13,140,7.69,0,0,13:15:58,
10.827498,106.696395,13,140,7.69,0,0,13:16:02,
10.827498,106.696395,13,140,7.69,0,0,13:16:05,
10.827498,106.696395,13,140,7.69,0,0,13:16:09,
10.827496,106.696365,13,140,8.59,0,0,13:16:12,
10.827499,106.696365,13,140,8.7,0,0,13:16:15,
10.827499,106.696365,13,140,8.7,0,0,13:16:18,
10.827499,106.696365,13,140,8,0,0,13:16:31,
10.827499,106.696365,13,140,8.7,0,0,13:16:24,
10.827499,106.696365,13,140,8.7,0,0,13:16:27,
10.827499,106.696365,13,140,8.7,0,0,13:16:30,
10.827499,106.696365,13,140,8.7,0,0,13:16:33,
10.827499,106.696365,13,140,8.7,0,0,13:16:36,
10.827499,106.69638,13,140,8.7,0,0,13:16:39,
10.827499,106.696365,13,140,8.7,0,0,13:16:42,
10.827499,106.696365,13,140,8.7,0,0,13:16:45,
10.827499,106.696365,13,140,8,0,0,13:16:42,
10.827499,106.696365,13,140,8.7,0,0,13:16:55,
10.827499,106.696365,13,140,8.7,0,0,13:16:59,
10.827499,106.696365,13,140,8.7,0,0,13:17:02,
10.827499,106.696365,13,140,8.7,0,0,13:17:06,
10.827499,106.696365,13,140,8.7,0,0,13:17:12,
10.829165,106.696365,13,140,8.7,0,0,13:17:15,
10.827499,106.696365,13,140,8.7,0,0,13:17:18,
10.827499,106.696365,13,140,8.7,0,0,13:17:21,
10.827499,106.696365,13,140,8.7,0,0,13:17:24,
10.827499,106.696365,13,140,8.7,0,0,13:17:31,
10.827499,106.696365,13,139,8.7,0,0,13:17:38,
10.827499,106.696365,13,139,8.7,0,0,13:17:45,
10.827493,106.69635,13,139,8.8,0,0,13:17:48,
10.827502,106.69635,13,152,8.79,0,0,13:17:52,
10.827502,106.69635,13,139,8.79,0,0,13:17:55,
10.827496,106.696334,13,139,8.76,0,0,13:17:58,
10.827491,106.696327,13,139,8.71,0,0,13:18:01,
10.8275,106.696319,13,139,8.64,0,0,13:18:04,
10.827506,106.696319,11,157,8.64,0,0,13:18:07,
10.827506,106.696304,11,157,8.64,0,0,13:18:10,
